Title,Business Category,Body,Trip Advisor ID,Quarter,Address Line 1,Address Line 2,Town,Postcode,Longitude,Latitude,Telephone Number,Website,Email Address,Monday Opening Times,Tuesday Opening Times,Wednesday Opening Times,Thursday Opening Times,Friday Opening Times,Saturday Opening Times,Sunday Opening Times,Bank Holiday Opening Times,Facebook,Instagram,Twitter,Youtube
Avanti Autos,"Professional Services, Travel and Transport","At Avanti Autos we pride ourselves on the passion and enthusiasm we have for the Alfa Romeo and Fiat marque, and this shines through in every aspect of our service. Avanti Autos have a complete range of full diagnostics and any electrical or mechanical work is undertaken. We can provide you with the full range of spares and parts, plus wheels and tyres.



Avanti Autos, based in Ipswich are Italian car specialists formed in 2006 and owned and run by Mario. Between us we have over 30 years of experience in the motor trade, specialising in Alfa Romeo and Fiat's.",,Franciscan,88 Princes Street,,Ipswich,IP1 1RY,1.1478297,52.0551279,01473 211123,www.avantiautos.co.uk,,08:30 - 17:30,08:30 - 17:30,08:30 -17:30,08:30 - 17:30,08:30 -17:30,08:30 - 12:30,CLOSED,CLOSED,,,,
Barclays,"Professional Services, Financial and Legal Services",,,Central,1 Princes Street,,Ipswich,IP1 1PB,1.1530246,52.0573296,0345 734 5345,www.barclays.co.uk,,09:00 - 17:00,09:00 - 17:00,09:00 -17:00,09:00 - 17:00,09:00 -17:00,09:00 - 16:00,CLOSED,CLOSED,https://www.facebook.com/BarclaysUK/,https://www.instagram.com/barclaycarduk/,https://twitter.com/Barclays,https://www.youtube.com/user/barclaysonline
Baiss & Co,"Health and Beauty, Hairdressers and Barbers","At Baiss and; Co, we offer a combination of highly skilled hair and beauty services; with experienced professionals who have a genuine understanding of client care and service. We are constantly learning and developing, evolving and striving to be the best. Our wish is that you feel relaxed and well looked after during your visit to us; and afterwards leave the salon feeling fantastic.",,Saints,The Sailors Rest,2 St Peters Street,Ipswich,IP1 1XB,1.1529046,52.0541594,01473 250405,www.baiss.co.uk,,09:00 - 16:00,09:00 - 18:00,09:00 -18:00,09:00 - 20:00,09:00 -19:00,08:30 - 12:30,CLOSED,CLOSED,https://www.facebook.com/Baiss-Co-150228678343851/,,https://twitter.com/baiss_and_co,
Berridges,"Food and Drink, Tea Houses Coffee Shops and Cafes, Shopping, Jewellery","We are very proud at Berridges to be able to say that all our jewellery is personally selected, we are a family business and likewise we like to deal with fellow family businesses. Most of the jewellery we have in stock today has strong family origins. Shoeffel, Thomas Sabo, Georg Jensen, Breuning and Buchwald to name a few.
Our shop is much more than just an emporium of fine jewellery collections. Indeed the first thing to hit you as you enter is the smell of fresh coffee and home baking permeating from the upstairs restaurant.
This haven of calm in the heart of town is managed by Louise Norman. Louise has real flair and passion for seasonal ingredients and good home cooking and this is reflected in the array of dishes found on the menu and daily specials board, which earn her many a compliment from contented customers each week.
The busy restaurant turns out everything from scrambled eggs and smoked salmon, Thai green curries and traditional casseroles to the irresistible cheesecakes, pavlovas and other fancies, which adorn the restaurant's central sweet trolley.
The restaurant is open from 9:30 - 16:00 Monday to Saturday, for teas, coffees, cakes and lunches. Bookings are recommended for the busy lunchtime periods.",3691735,Central,4 Dial Lane,,Ipswich,IP1 1DL,1.1544455,52.0573919,01473 225525,www.berridges.com,,09:30 - 17:00,09:30 - 17:00,09:30 -17:00,09:30 - 17:00,09:30 -17:00,09:30 - 17:00,Closed,09:30 - 17:00,https://www.facebook.com/Berridges-Jewellers-247797361942255/,,https://twitter.com/berridgesinfo,
Betfred,"Shopping, Bookmakers","Whether you are playing the sportsbook, casino, bingo, poker of games Betfred offers fantastic bonuses and excellent customer service.",,Eastgate,34 Carr Street,,Ipswich,IP4 1EN,1.1577258,52.0574461,0800 032 0878,www.betfred.com,,08:30 - 22:00,08:30 - 22:00,08:30 -22:00,08:30 - 22:00,08:30 -22:00,08:30 - 22:00,10:00 - 22:00,08:30 - 08:30,,,https://twitter.com/betfred?lang=en-gb,
Birketts,"Professional Services, Financial and Legal Services","Birketts is a full service, top 100 UK law firm, operating in Cambridge, Chelmsford, Ipswich, Norwich and the surrounding areas.



With a rich heritage spanning over 150 years we've built an enviable track record advising businesses, institutions and individuals in the UK and internationally.



Throughout our history our ethos has remained simple: we provide clear legal advice and value and insight to our clients.



We set out to truly understand our clients' needs and help realise their ambitions.



We believe that through this approach and a combination of technical excellence and high quality service we can develop long-lasting partnerships and become our clients' solicitor of choice.",,Westgate,24-26 Museum Street,,Ipswich,IP1 1HZ,1.1504136,52.0573199,01473 232300,www.birketts.co.uk,,08:30 - 17:30,08:30 - 17:30,08:30 -17:30,08:30 - 17:30,08:30 -17:30,CLOSED,CLOSED,CLOSED,https://www.facebook.com/Birketts-LLP-Graduates-311529165582727/,,https://twitter.com/birkettsllp,https://www.youtube.com/user/BirkettsSolicitors?sub_confirmation=1
Bistro on the Quay,"Food and Drink, French","The Bistro is situated on the historic waterfront of Ipswich, Suffolk. The restaurant is housed in a former salt warehouse overlooking the new marina and is easily accessible by foot, car or sail. Bistro on the Quay is ideally placed in the heart of the Ipswich Waterfront Regeneration area which includes galleries, cafes, shops, hotels and the new East of England Dance Studio as well as the prestigious University Campus Suffolk.
At the Bistro we aim to serve excellent food and wine at sensible prices in a relaxed and friendly dining room. We specialise in fresh local produce which changes with the seasons.
Reservations available between:
Monday 12:00 14:00 - 18:30 21:30
Tuesday 12:00 14:00 - 18:30 21:30
Wednesday 12:00 14:00 - 18:30 21:30
Thursday 12:00 14:00 - 18:30 21:30
Friday 12:00 14:00 - 18:00 21:30
Saturday 12:00 14:00 - 18:00 21:30
Sunday   12:00 14:30",801064,Waterfront,Wherry Quay,,Ipswich,IP4 1AS,1.1601739,52.0527683,01473 286677,www.bistroonthequay.co.uk,,"12:00 - 14:00, 18:30 - 21:30","12:00 - 14:00, 18:30 - 21:30","12:00 - 14:00, 18:30 - 21:30","12:00 - 14:00, 18:30 - 21:30","12:00 - 14:00, 18:00 - 21:30","12:00 - 14:00, 18:300 - 21:30",12:00 - 14:30,CLOSED,,,,
Blends Cafe,"Food and Drink, Tea Houses Coffee Shops and Cafes",,4353166,,43a Butter Market,,Ipswich,IP1 1BJ,1.1555502,52.0571863,01473 221711,,,08:00 - 16:00,08:00 - 16:00,08:00 -16:00,08:00 - 16:00,08:00 -16:00,08:00 - 16:00,Closed,Closed,https://www.facebook.com/Blends-153965067960191/,,,
Boots Opticians,"Health and Beauty, Audiologist, Opticians","Whether you need an eye test or want to pick up some new glasses or contact lenses, Boots Opticians is the place to go.

We pride ourselves on our premium level of service and clinical care standards, so when you visit Boots Opticians, you'll know that you're in safe hands.",,Central,Upper Brook Street,,Ipswich,IP4 1EE,1.1560759,52.0573392,01473 252359,www.boots.com/opticians,,09:00 - 17:30,09:00 - 17:30,09:30 -17:30,09:00 - 17:30,09:00 -17:30,08:30 - 17:30,10:00 - 16:00,10:00 - 10:00,https://www.facebook.com/BootsUK/,https://www.instagram.com/bootsuk/,https://twitter.com/BootsUK,https://www.youtube.com/user/Boots
Boots,"Health and Beauty, Pharmacy","The UK's leading pharmacy-led health and beauty retailer.



Boots UK is a member of Alliance Boots, an international pharmacy-led health and beauty group.



Our purpose is to help our customers look and feel better than they ever thought possible. We have close to 2,500 stores from local community pharmacies to large destination health and beauty stores. We offer fantastic products and services and you'll be cared for by expert, friendly people.",,Central,Sailmakers,Tavern Street,Ipswich,IP1 3AA,1.1544778,52.0580566,01473 256525,www.boots.com,,08:00 - 18:00,08:00 - 18:00,08:00 -18:00,08:00 - 18:00,08:00 -18:00,08:30 - 17:30,10:30 - 16:30,10:30 - 10:00,https://www.facebook.com/BootsUK/,https://www.instagram.com/bootsuk/,https://twitter.com/BootsUK,https://www.youtube.com/user/Boots
Boreham Christopher,"Shopping, Jewellery","Jewellers,focusing on quality gold and silver jewellery, with many stylish and beautiful modern pieces on offer at competitive prices. You will find a selection of ourown design items in stock.We have a range of gifts for men, and christening gifts from RoyalSelengor, also handbag accessories from Stratton.We always keep a small rangeof secondhand jewellery. Visit for a friendly service, where wetry to serve people like we would like to be served ourselves. ",,Central,26a Upper Brook Street,,Ipswich,IP4 1EB,1.1561045,52.0566379,01473 286468,www.borehamchristopher.com,,09:30 - 17:00,09:30 - 17:00,09:30 -17:00,09:30 - 17:00,09:30 -17:00,09:30 - 17:00,CLOSED,CLOSED,,,https://twitter.com/BorehamChristop,
Bowmans Bar,"Food and Drink, Bars Clubs and Public Houses, Things to Do, Nightlife","Bowmans Bar & Lounge opened in Ipswich in November 2010 offering the kind of bar Ipswich had been desperately in need of. The bar boasts regular entertainment including our last Thursday of every month quiz nights that are exciting and challenging. Come and visit us, whether it's for a bite to eat at lunch, a drink after work, or to party all night , we're open till 3am at weekends!
Bowmans won the ""Peoples' Choice"" award and claimed Best Independent Bar at the 2012/2013 Best Bar None Awards. ",2013860,Central,1 Falcon Street,,Ipswich,IP1 1SH,1.1527686,52.0562126,01473 218118,www.bowmansbar.com,,11:30 - 01:00,11:30 - 01:00,11:30 -01:00,11:30 - 01:00,11:30 -03:00,12:00 - 03:00,CLOSED,11:30 - 11:30,https://www.facebook.com/pages/Bowmans-Bar-Lounge/173719905994431,https://www.instagram.com/bowmansbar_ip1/,https://twitter.com/bowbarips,
Brighthouse,"Shopping, Electrical, Home and Garden","BrightHouse is the nation's leading rent-to-own retailer. Providing top brand household goods on low weekly, fortnightly or monthly payments and quick and; simple credit.



‚Ä¢	Pay a little bit at a time

‚Ä¢	Quick and; simple credit

‚Ä¢	Price match promise

BrightHouse offers a range of top brand technology, from Smart 3D LED TVs and laptops, to the latest washing machines, as well as stylish sofas and bedroom furniture. Any of our products can usually be delivered and installed within 7 days, it really couldn't be simpler!",,Eastgate,44 Carr Street,,Ipswich,IP4 1EW,1.1589246,52.0573039,01473 218855,www.brighthouse.co.uk,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,CLOSED,10:00 - 10:00,https://www.facebook.com/BrightHouseUK/,,https://twitter.com/brighthouseuk,
British Heart foundation,"Shopping, Budget Charity and Convenience",,,Eastgate,24 Carr Street,,Ipswich,IP4 1EJ,1.1572498,52.0573926,01473 210481,bhf.org.uk,,09:30 - 17:00,09:30 - 17:00,09:30 -17:00,09:30 - 17:00,09:30 -17:00,09:30 - 17:00,10:00 - 16:00,10:00 - 10:00,https://www.facebook.com/bhf/,https://www.instagram.com/the_bhf/,https://twitter.com/TheBHF,https://www.youtube.com/user/BritishHeartFound
Burtons Menswear,"Shopping, Clothing",Providing Great British style to the modern man. Burton combines a long heritage of tailoring with a modern take on casual wear.,,Central,17 Cornhill,,Ipswich,IP1 1DF,1.1534001,52.0580854,01473 252260,www.burton.co.uk,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,10:30 - 16:30,10:30 - 10:30,https://www.facebook.com/BurtonMenswear/,https://www.instagram.com/burton_menswear/,https://twitter.com/Burton_Menswear,https://www.youtube.com/user/BurtonClothing
Buttermarket Lighting,"Shopping, Cards and Gifts, Home and Garden","Specialising in beautiful ranges of Lighting, Gift and Home wares. We are sure you will be enthralled to discover just how many, and the variety of products we stock.",,Central,22 Butter Market,,Ipswich,IP1 1BP,1.1543353,52.0570173,01473 215456,www.buttermarketlighting.co.uk,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,09:00 - 18:00,CLOSED,00:00 - 10:30,,,,
Buttermarket Shopping Centre,"Shopping, Shopping Centres and Department Stores","Plenty of shops to cover all of your shopping needs and when you can shop no more you have options to relax, take the weight off your feet and get a drink or something to eat at one of our caf es, bars or restaurants.",,Central,St Stephen's Lane,,Ipswich,IP1 1DT,1.1547772,52.0565813,01473 281580,www.buttermarketipswich.com,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,09:00 - 18:00,10:30 - 16:30,10:30 - 10:30,https://www.facebook.com/ButtermarketIpswich/,https://www.instagram.com/buttermarketips/,https://twitter.com/buttermarketips,
Caffe Nero,"Food and Drink, Tea Houses Coffee Shops and Cafes",The Caff?® Nero philosophy is really very simple: Premium Italian coffee. A warm and welcoming atmosphere. Good food and great personal service.,2486604,Central,54 Butter Market,,Ipswich,IP1 1BT,1.1558137,52.0569325,01473 286592,www.caffenero.com,,07:30 - 18:00,07:30 - 18:00,07:30 -18:00,07:30 - 18:00,07:30 -18:00,08:00 - 18:00,09:00 - 17:00,09:00 - 07:30,https://www.facebook.com/caffenero/,https://www.instagram.com/explore/tags/caffenero/,https://twitter.com/_caffenero_,
Cancer Research UK,"Shopping, Budget Charity and Convenience","We fund scientists, doctors and nurses to help beat cancer sooner. We also provide cancer information to the public",,Westgate,53 Westgate Street,,Ipswich,IP1 3DX,1.1498979,52.0587059,01473 230882,www.cancerresearchuk.org,,09:00 - 17:00,09:00 - 17:00,09:00 -17:00,09:00 - 17:00,09:00 -17:00,09:00 - 17:00,10:00 - 16:00,CLOSED,https://www.facebook.com/cancerresearchuk,https://www.instagram.com/cr_uk/,https://twitter.com/CR_UK,https://www.youtube.com/user/cancerresearchuk
Carats,"Shopping, Jewellery","Carats Co Ltd has been designing, making and selling jewellery since 1985. Our aim is to produce and sell unusual but wearable modern jewellery in gold, white gold, platinum, silver and palladium, along with standard jewellery which will suit everybodies tastes.

Our shops in Ipswich and Colchester not only retail our own work, but also modern jewellery from both Britain and Europe. Some of our collectins include award winning designers such as Sarah Jordan, Scarlett and Dower and Hall.

This family run business prides itself on the quality of its products and it service to clients. Many of our customers return to us for this very reason.

We can design and make nearly all requirements and have over the years made some very unusual and interesting commissions.

Along with creating jewellery, we also undertake repairs - both modern and antique, replace stones, restring pearls and remodel old jewellery reusing stones and sometimes metal.",,Central,11 Butter Market,,Ipswich,IP1 1BQ,1.1536121,52.0572364,01473 255488,caratsjewellers.co.uk,,09:15 - 17:00,09:15 - 17:00,09:15 -17:00,09:15 - 17:00,09:15 -17:00,09:15 - 17:00,CLOSED,CLOSED,https://en-gb.facebook.com/Carats-Jewellers-625792404199923/,,https://twitter.com/caratsjewellery,
Carpetright,"Shopping, Home and Garden","The Group aims to be the first choice for all consumers by offering the broadest range of floor coverings, at the keenest prices, with unbeatable customer service.",,Franciscan,2 Commercial Road,,Ipswich,IP1 1UZ,1.1475731,52.0522623,01473 287460,www.carpetright.co.uk,,09:30 - 20:00,09:30 - 20:00,09:30 -18:00,09:30 - 18:00,09:30 -18:00,09:00 - 18:00,10:00 - 16:00,10:00 - 10:00,https://www.facebook.com/Carpetright/,https://www.instagram.com/carpetrightuk/,https://twitter.com/carpetright,https://www.youtube.com/user/carpetrightplc
Carphone Warehouse,"Shopping, Electrical",,,Central,7 Tavern Street,,Ipswich,IP1 3AA,1.1544778,52.0580566,0843 538 1469,www.carphonewarehouse.com,,09:00 - 18:00,09:00 - 18:00,09:00 -18:00,09:00 - 18:00,09:00 -18:00,09:00 - 18:00,10:30 - 17:00,10:30 - 10:30,https://www.facebook.com/carphonewarehouse/,,https://twitter.com/cpwtweets?lang=en-gb,https://www.youtube.com/user/eyeopeners
Cash Converters,"Shopping, Budget Charity and Convenience, Electrical","Pawn brokers, buy backs, cheque cashing, loans and selling of second hand goods.",,Eastgate,8 Northgate Street,,Ipswich,IP1 3BZ,1.1564493,52.0579511,01473 219984,www.cashconverters.co.uk,,09:30 - 17:00,09:30 - 17:00,09:30 -17:00,09:30 - 17:00,09:30 -17:00,09:30 - 17:00,CLOSED,CLOSED,https://www.facebook.com/Cash-Converters-Ipswich-536657276399970/,,https://twitter.com/cash_converters?lang=en-gb,
Cashino,"Things to Do, Entertainment","Local arcade including gaming, fruit machines and bingo.",,Eastgate,27 Carr Street,,Ipswich,IP4 1HA,1.1576107,52.0575858,01473 253015,www.cashino.com,,CLOSED,CLOSED,00:00 -00:00,CLOSED,00:00 -00:00,09:00 - 19:30,CLOSED,CLOSED,,,https://twitter.com/cashinogaming,
CEX,"Shopping, Electrical","Secondhand retailer of electrics, gadgets and entertainment.",,Central,25-27 Upper Brook Street,,Ipswich,IP4 1ED,1.1562309,52.0566619,,www.webuy.com,,09:00 - 18:00,09:00 - 18:00,09:00 -18:00,09:00 - 18:00,09:00 -18:00,09:00 - 18:00,11:00 - 17:00,09:00 - 09:00,https://www.facebook.com/CeX/,https://www.instagram.com/cex/,https://twitter.com/Cex,
TSB,"Professional Services, Financial and Legal Services","Banking, Savings and investments.",,Central,16 Butter Market,,Ipswich,IP1 1BG,1.1540511,52.0569707,01473 215678,www.tsb.co.uk,,09:00 - 17:00,09:00 - 17:00,09:00 -17:00,09:00 - 17:00,09:00 -17:00,CLOSED,CLOSED,CLOSED,https://www.facebook.com/TSBbankUK/,https://www.instagram.com/tsb/,https://twitter.com/TSB,https://www.youtube.com/user/TSBBankUK
Cineworld,"Things to Do, Entertainment, Family Days Out","Located on the popular Cardinal Park, Cineworld Ipswich boasts 12 fully digital screens, including an IMAX and a 4DX screen, a Starbucks on the ground floor and external seating outside the cinema. The 2,633 seat cinema's 12 cutting-edge screens, deliver crystal-clear images and a powerful digital sound system; perfect to watch the latest releases. The cinema has a large car park and fantastic transport links, including bus routes and the nearby train station.",1749720,Franciscan,11 Grafton Way,Cardinal Park,Ipswich,IP1 1AX,1.14938,52.05352,0871 200 2000,www.cineworld.co.uk,,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 22:00,11:00 - 23:00,10:00 - 23:00,10:00 - 22:00,11:00 - 22:00,https://www.facebook.com/cineworld,https://www.instagram.com/cineworld/,https://twitter.com/cineworld,
